post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
172101388.from-salsa-import,2025-08-27T21:41:07.994Z,true,2025-08-27T21:41:08.219Z,2025-08-27T21:41:08.219Z,newsletter,everyone,from Salsa import *,Pair programming,
172051842.victorian-salsa,2025-08-29T22:47:54.944Z,true,2025-08-29T22:47:55.083Z,2025-08-29T22:47:55.083Z,newsletter,everyone,Victorian Salsa,"Or, Things Nobody Can Stop You From Doing With Suno",
172018938.cbt-for-social-anxiety-state-of-the,,false,,,newsletter,everyone,,,
171900431.aspiring-phoenix,2025-10-05T00:43:16.473Z,true,2025-10-05T00:43:16.607Z,2025-10-05T00:43:16.607Z,newsletter,everyone,Combustion Notes,How to Catch Fire,
171819053.cupids-optometrist,2025-08-24T18:17:47.248Z,true,2025-08-24T18:17:47.356Z,2025-08-24T18:17:47.356Z,newsletter,everyone,Cupid's Optometrist,Contact solutions,
171752825.failure-to-converge,,false,,,newsletter,everyone,,,
171395333.how-to-manufacture-a-community,2025-08-23T22:08:40.638Z,true,2025-08-23T22:08:40.722Z,2025-08-23T22:08:40.722Z,newsletter,everyone,How To: Manufacture A Community,Friendship engineering,
170974334.the-self-is-a-policy-document,2025-08-17T18:22:15.502Z,true,2025-08-17T18:22:15.655Z,2025-08-17T18:22:15.655Z,newsletter,everyone,The Self Is A Policy Document,Corporate personhood,
170972716.you-cannot-optimize-for-never-bothering,,false,,,newsletter,everyone,,,
169836063.selecting-a-dance-style,2025-11-24T18:07:22.679Z,true,2025-11-24T18:07:22.944Z,2025-11-24T18:07:22.944Z,newsletter,everyone,Selecting A Dance Style,A postmortem on a hasty decision,
169061929.partner-dancing-is-hard-but-also,2025-07-28T15:56:29.959Z,true,2025-07-28T15:56:30.110Z,2025-07-28T15:56:30.110Z,newsletter,everyone,Partner Dancing Is Hard But Also Great,"Extremely high ROI, extremely high price of admission",
169060585.maybe-social-anxiety-is-just-you,2025-07-23T16:37:22.536Z,true,2025-07-23T16:37:22.686Z,2025-07-23T16:37:22.686Z,newsletter,everyone,Maybe Social Anxiety Is Just You Failing At Mind Control,hear me out,
169002447.c11,,false,,,newsletter,everyone,,,
165038479.your-approval-seeking-drive-is-ruining,,false,,,newsletter,everyone,,,
157494653.there-are-no-coherent-non-singleton,,false,,,newsletter,everyone,,,
157159646.an-agi-on-every-desktop,,false,,,newsletter,everyone,,,
150314744.using-cursor-well,,false,,,newsletter,everyone,,,
147391046.testosterone-in-science-and-in-our,,false,,,newsletter,everyone,,,
147318574.the-effects-of-exogenous-testosterone,,false,,,newsletter,everyone,,,
146921095.what-i-learned-from-my-weird-dating,,false,,,newsletter,everyone,,,
146085008.overcoming-social-inhibitions,,false,,,newsletter,everyone,,,
146016712.the-unemployment-project,2024-06-26T16:48:14.400Z,true,2024-06-26T16:48:14.516Z,2024-06-26T16:48:14.516Z,newsletter,everyone,The Unemployment Project,"Okay, so I got a bunch of financial slack through working as an engineer in Big Tech for a decade. Now what?",
145956163.adventures-in-social-anxiety,,false,,,newsletter,everyone,,,
145952887.where-do-people-get-medical-information,2024-07-04T18:46:30.939Z,true,2024-07-04T18:46:31.035Z,2024-07-04T18:46:31.035Z,newsletter,everyone,Where Do People Get Medical Information Online?,Most of it's not great!,
145898160.options-pricing-for-dummies,,false,,,newsletter,everyone,,,
145555072.investing-for-ai-the-three-futures,2024-06-22T17:16:46.865Z,true,2024-06-22T17:16:46.983Z,2024-06-22T17:16:46.983Z,newsletter,everyone,Investing For AI: The Three-Futures Model,I have a prediction that sounds nuts to like 90% of people (which is that AI is set to upturn the economy in 5ish years.) How do I use that prediction to generate investment returns? ,
136976370.anthropics-and-investing,,false,,,newsletter,everyone,,,
125066539.hedgefundies-excellent-adventure,2023-06-08T13:10:45.977Z,true,,,newsletter,everyone,"Hedgefundie's Excellent Adventure, Scaled Down",Lol 2022.,
125066253.coming-soon,2023-05-31T15:02:02.416Z,true,2023-05-31T15:02:02.416Z,2023-05-31T15:02:02.416Z,newsletter,everyone,Coming soon,,
125066252.how-to-use-the-substack-editor,,false,,,newsletter,everyone,,,
